cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN2012hd	IC1657	01h14m07.02s	-32d39m03.2s	(R)SB(s)bc	0.07068	3.97	52.18	0.01214	52.005	1.32	332.81		0.234	4.0	86.91	170			13.137	12.07	12.02	11.523	-21.39
ASASSN-13bb	UGC1395	01h55m22.04s	06d36m42.6s	SA(rs)b	0.18879	1.7	30.49	0.01717	73.535	0.94	335.12	1.48	0.794	3.0	38.99				14.433	14.5	13.09	12.35	-20.59
SN2002ha	NGC6962	20h47m19.06s	00d19m14.9s	SAB(r)ab	0.26536	3.9	50.16	0.01392	59.603	1.23	355.43	2.09	0.794	1.0	40.07	75	NEW OBJ.	15.282	13.005	11.89	12.039	11.376	-21.284
SN2005Z	NGC3363	10h45m09.46s	22d04m42.6s	Sb	0.07316	1.6	41.79	0.01921	82.25	0.9	358.88	2.09	0.631	3.0	53.41	0		15.369	14.471		12.987	12.504	-20.554
ASASSN-13ar	MCG-01-04-025	01h18m43.17s	-07d27m05.3s	Sa	0.15035	1.35	29.96	0.01764	75.543	0.98	358.92	1.23	0.759	1.0	43.59				15.0			13.325	-19.73
ASASSN-14kr	GALEXASCJ125413.02-073849.5	12h54m13.08s	-07d38m50.1s	Sa	0.09145	0.65	10.62	0.01311	56.155	1.33	362.09	1.48	1.0	1.0	0.0								
SN2008bc	KK1524	09h38m34.11s	-63d58m22.6s	SBb	0.69812	1.63	20.05	0.01479	63.359	1.18	362.46	1.86	0.74	3.0	44.12		NEW OBJ.						
SN2008ff	ESO284-G032	20h13m56.26s	-44d21m04.2s	SB0/a(r)	0.13516	1.85	48.23	0.01921	82.284	0.91	363.02	1.55	1.000	-1.0	0.0				13.7		12.44		-21.174
IC5179	IC5179	22h16m09.10s	-36d50m37.4s	SA(rs)bc	0.05332	3.43	42.16	0.01117	47.834	1.57	364.09		0.479	4.0	64.37	57		12.613	12.613	12.033	11.38	10.735	-21.314
LSQ12fuk	GALEXASCJ045815.88-161800.7	04h58m15.88s	-16d18m00.7s	Sm	0.22134			0.02039	87.334	0.86	364.13	1.23	0.19	9.0	81.65								
SN2001cp	UGC10738	17h11m05.85s	05d51m08.1s	Sbc	0.41664	1.9	60.67	0.02258	96.709	0.78	365.71	1.74	0.166	4.0	90.0	49			15.434			12.872	-21.28
PSNJ07250042+2347030	NGC2370	07h25m01.66s	23d46m59.6s	SBb	0.1612	1.1	26.15	0.01847	79.102	0.97	371.99		0.589	3.0	56.76	43			14.234			12.13	-20.928
SN2004cs	UGC11001	17h50m13.64s	14d17m15.2s	Sdm	0.25544	1.41	22.78	0.01419	60.781	1.3	383.08	2.04	0.355	7.0	71.22	133		15.854	14.322		13.772	13.395	-20.735
SN2009le	ESO478-6	02h09m18.08s	-23d24m54.3s	Sbc	0.04433	2.2	41.64	0.01796	76.935	1.03	384.18	0.98	0.537	4.0	60.04	104			13.208		12.16	11.573	-21.67
PTF11pra	NGC881	02h18m45.27s	-06d38m20.7s	SAB(r)c	0.07533	0.57	38.73	0.01748	74.85	1.06	384.65	1.20	0.661	5.0	50.01	140		13.432	13.232	12.442		11.317	-21.711
ASASSN-14dd	NGC2466	07h45m16.05s	-71d24m37.5s	SA(s)c	0.43648	2.55	61.34	0.01783	76.374	1.06	392.49		0.891	5.0	27.62			13.448	13.718	13.138	12.44	11.975	-21.372
ASASSN-13cp	PGC055442	15h33m48.92s	21d08m10.3s	S0	0.15159	1.51	34.68	0.02364	101.244	0.8	392.68	1.20	0.76	-1.0	45.73			16.08	14.758	14.36	13.484	13.223	-20.714
SN2006ef	NGC809	02h04m18.97s	-08d44m07.1s	(R)S0	0.06262	1.48	33.27	0.01792	76.734	1.06	394.34		0.708	-1.0	51.09			15.856	14.586		13.238	12.645	-20.32
SN2007st	NGC692	01h48m41.99s	-48d38m54.6s	(R')SB(r)bc	0.04433	3.52	96.01	0.02115	90.576	0.9	395.21	1.05	0.871	4.0	30.3				13.07		11.93	11.277	-21.997
ASASSN-14dl	ESO506-4	12h21m49.05s	-24d10m05.8s	SAB(r)ab	0.20584	2.73	48.72	0.01351	57.86	1.42	398.33	1.86	0.513	1.0	65.36	90			13.323	12.47	11.9	11.255	-21.294
SN2014cd	NGC1578	04h23m46.65s	-51d35m58.0s	SA(s)a pec	0.03689	2.38	53.58	0.0207	88.653	0.93	399.72	1.59	0.871	1.0	31.35	177			13.901	13.111	12.48	11.92	-21.033
SN2004ey	UGC11816	21h49m07.29s	00d26m50.4s	SB(rs)c	0.37417	1.62	29.7	0.01588	67.997	1.22	402.18		0.933	5.0	21.56	85		16.226	14.829		14.156	13.575	-20.098
SN2006cm	UGC11723	21h20m17.48s	-01d41m03.6s	Sb edge-on	0.12834	1.95	40.2	0.01651	70.717	1.18	404.56		0.158	3.0	90.0	33		22.589	14.813	14.09	19.345	12.766	-20.599
